"","target_id","source_id","weight"
"443","12.00_98.00","13.00_98.00",0.124646845417033
"444","12.00_98.00","13.00_99.00",0.0623234227085167
"445","12.00_100.00","11.00_99.00",0.0835616300473083
"446","12.00_100.00","11.00_100.00",0.167123260094617
"447","12.00_100.00","12.00_99.00",0.166673806341336
"448","12.00_100.00","12.00_100.00",0.333347612682672
"449","12.00_100.00","13.00_99.00",0.083097896944689
"450","12.00_100.00","13.00_100.00",0.166195793889378
"451","14.00_68.00","13.00_67.00",0.0627013065300114
"452","14.00_68.00","13.00_68.00",0.125402613060023
"453","14.00_68.00","13.00_69.00",0.0627013065300114
"454","14.00_68.00","14.00_67.00",0.125005354756002
"455","14.00_68.00","14.00_68.00",0.250010709512004
"456","14.00_68.00","14.00_69.00",0.125005354756002
"457","14.00_68.00","15.00_67.00",0.0622933387139866
"458","14.00_68.00","15.00_68.00",0.124586677427973
"459","14.00_68.00","15.00_69.00",0.0622933387139866
"460","14.00_70.00","13.00_69.00",0.0627013065300114
"461","14.00_70.00","13.00_70.00",0.125402613060023
"462","14.00_70.00","13.00_71.00",0.0627013065300114
"463","14.00_70.00","14.00_69.00",0.125005354756002
"464","14.00_70.00","14.00_70.00",0.250010709512004
"465","14.00_70.00","14.00_71.00",0.125005354756002
"466","14.00_70.00","15.00_69.00",0.0622933387139866
"467","14.00_70.00","15.00_70.00",0.124586677427973
"468","14.00_70.00","15.00_71.00",0.0622933387139866
"469","14.00_72.00","13.00_71.00",0.0627013065300114
"470","14.00_72.00","13.00_72.00",0.125402613060023
"471","14.00_72.00","13.00_73.00",0.0627013065300114
"472","14.00_72.00","14.00_71.00",0.125005354756002
"473","14.00_72.00","14.00_72.00",0.250010709512004
"474","14.00_72.00","14.00_73.00",0.125005354756002
"475","14.00_72.00","15.00_71.00",0.0622933387139866
"476","14.00_72.00","15.00_72.00",0.124586677427973
"477","14.00_72.00","15.00_73.00",0.0622933387139866
"478","14.00_74.00","13.00_73.00",0.0627013065300114
"479","14.00_74.00","13.00_74.00",0.125402613060023
"480","14.00_74.00","13.00_75.00",0.0627013065300114
"481","14.00_74.00","14.00_73.00",0.125005354756002
"482","14.00_74.00","14.00_74.00",0.250010709512004
"483","14.00_74.00","14.00_75.00",0.125005354756002
"484","14.00_74.00","15.00_73.00",0.0622933387139866
"485","14.00_74.00","15.00_74.00",0.124586677427973
"486","14.00_74.00","15.00_75.00",0.0622933387139866
"487","14.00_76.00","13.00_75.00",0.0627013065300114
"488","14.00_76.00","13.00_76.00",0.125402613060023
"489","14.00_76.00","13.00_77.00",0.0627013065300114
"490","14.00_76.00","14.00_75.00",0.125005354756002
"491","14.00_76.00","14.00_76.00",0.250010709512004
"492","14.00_76.00","14.00_77.00",0.125005354756002
"493","14.00_76.00","15.00_75.00",0.0622933387139866
"494","14.00_76.00","15.00_76.00",0.124586677427973
"495","14.00_76.00","15.00_77.00",0.0622933387139866
"496","14.00_78.00","13.00_77.00",0.0627013065300114
"497","14.00_78.00","13.00_78.00",0.125402613060023
"498","14.00_78.00","13.00_79.00",0.0627013065300114
"499","14.00_78.00","14.00_77.00",0.125005354756002
"500","14.00_78.00","14.00_78.00",0.250010709512004
"501","14.00_78.00","14.00_79.00",0.125005354756002
"502","14.00_78.00","15.00_77.00",0.0622933387139866
"503","14.00_78.00","15.00_78.00",0.124586677427973
"504","14.00_78.00","15.00_79.00",0.0622933387139866
"505","14.00_80.00","13.00_79.00",0.0627013065300114
"506","14.00_80.00","13.00_80.00",0.125402613060023
"507","14.00_80.00","13.00_81.00",0.0627013065300114
