target_id,source_id,weight
8.00_76.00,9.00_77.00,0.00389693975437909
8.00_78.00,7.00_77.00,0.00391490543027822
8.00_78.00,7.00_77.25,0.00782981086055644
8.00_78.00,7.00_77.50,0.00782981086055644
8.00_78.00,7.00_77.75,0.00782981086055644
8.00_78.00,7.00_78.00,0.00782981086055644
8.00_78.00,7.00_78.25,0.00782981086055644
8.00_78.00,7.00_78.50,0.00782981086055644
8.00_78.00,7.00_78.75,0.00782981086055644
8.00_78.00,7.00_79.00,0.00391490543027822
8.00_78.00,7.25_77.00,0.00782659445685691
8.00_78.00,7.25_77.25,0.0156531889137138
8.00_78.00,7.25_77.50,0.0156531889137138
8.00_78.00,7.25_77.75,0.0156531889137138
8.00_78.00,7.25_78.00,0.0156531889137138
8.00_78.00,7.25_78.25,0.0156531889137138
8.00_78.00,7.25_78.50,0.0156531889137138
8.00_78.00,7.25_78.75,0.0156531889137138
8.00_78.00,7.25_79.00,0.00782659445685691
8.00_78.00,7.50_77.00,0.00782217554339104
8.00_78.00,7.50_77.25,0.0156443510867821
8.00_78.00,7.50_77.50,0.0156443510867821
8.00_78.00,7.50_77.75,0.0156443510867821
8.00_78.00,7.50_78.00,0.0156443510867821
8.00_78.00,7.50_78.25,0.0156443510867821
8.00_78.00,7.50_78.50,0.0156443510867821
8.00_78.00,7.50_78.75,0.0156443510867821
8.00_78.00,7.50_79.00,0.00782217554339104
8.00_78.00,7.75_77.00,0.00781760770697826
8.00_78.00,7.75_77.25,0.0156352154139565
8.00_78.00,7.75_77.50,0.0156352154139565
8.00_78.00,7.75_77.75,0.0156352154139565
8.00_78.00,7.75_78.00,0.0156352154139565
8.00_78.00,7.75_78.25,0.0156352154139565
8.00_78.00,7.75_78.50,0.0156352154139565
8.00_78.00,7.75_78.75,0.0156352154139565
8.00_78.00,7.75_79.00,0.00781760770697826
8.00_78.00,8.00_77.00,0.00781289103458357
8.00_78.00,8.00_77.25,0.0156257820691671
8.00_78.00,8.00_77.50,0.0156257820691671
8.00_78.00,8.00_77.75,0.0156257820691671
8.00_78.00,8.00_78.00,0.0156257820691671
8.00_78.00,8.00_78.25,0.0156257820691671
8.00_78.00,8.00_78.50,0.0156257820691671
8.00_78.00,8.00_78.75,0.0156257820691671
8.00_78.00,8.00_79.00,0.00781289103458357
8.00_78.00,8.25_77.00,0.00780802561600562
8.00_78.00,8.25_77.25,0.0156160512320112
8.00_78.00,8.25_77.50,0.0156160512320112
8.00_78.00,8.25_77.75,0.0156160512320112
8.00_78.00,8.25_78.00,0.0156160512320112
8.00_78.00,8.25_78.25,0.0156160512320112
8.00_78.00,8.25_78.50,0.0156160512320112
8.00_78.00,8.25_78.75,0.0156160512320112
8.00_78.00,8.25_79.00,0.00780802561600562
8.00_78.00,8.50_77.00,0.00780301154387497
8.00_78.00,8.50_77.25,0.0156060230877499
8.00_78.00,8.50_77.50,0.0156060230877499
8.00_78.00,8.50_77.75,0.0156060230877499
8.00_78.00,8.50_78.00,0.0156060230877499
8.00_78.00,8.50_78.25,0.0156060230877499
8.00_78.00,8.50_78.50,0.0156060230877499
8.00_78.00,8.50_78.75,0.0156060230877499
8.00_78.00,8.50_79.00,0.00780301154387497
8.00_78.00,8.75_77.00,0.00779784891365233
8.00_78.00,8.75_77.25,0.0155956978273046
8.00_78.00,8.75_77.50,0.0155956978273046
8.00_78.00,8.75_77.75,0.0155956978273046
8.00_78.00,8.75_78.00,0.0155956978273046
8.00_78.00,8.75_78.25,0.0155956978273046
8.00_78.00,8.75_78.50,0.0155956978273046
8.00_78.00,8.75_78.75,0.0155956978273046
8.00_78.00,8.75_79.00,0.00779784891365233
8.00_78.00,9.00_77.00,0.00389693975437909
8.00_78.00,9.00_77.25,0.00779387950875818
8.00_78.00,9.00_77.50,0.00779387950875818
8.00_78.00,9.00_77.75,0.00779387950875818
8.00_78.00,9.00_78.00,0.00779387950875818
8.00_78.00,9.00_78.25,0.00779387950875818
8.00_78.00,9.00_78.50,0.00779387950875818
8.00_78.00,9.00_78.75,0.00779387950875818
8.00_78.00,9.00_79.00,0.00389693975437909
